name,username,Following,Followers,Posts
Ruben Onsu,ruben_onsu,"1,330",43M,"10,000"
Channel 8,britneyspears,49,43M,"3,226"
Ryan Reynolds,vancityreynolds,743,49M,725
Virginia Fonseca Costa,virginia,451,43M,"2,014"
SUGA of BTS 민윤기,agustd,7,43M,83
Marina Ruy Barbosa,marinaruybarbosa,"2,406",43M,"2,133"
Ed Sheeran,teddysphotos,0,43M,69
SYAHRINI,princessyahrini,765,43M,"4,584"
Wardell Curry,stephencurry30,"1,036",50M,"1,100"
Jin of BTS,jin,7,44M,100
Bruna Marquezine,brunamarquezine,"1,071",45M,"3,067"
Jennifer Aniston,jenniferaniston,649,43M,115
Natasha Wilona,natashawilona12,917,42M,"1,254"
Addison Rae,addisonraee,392,41M,353
VarunDhawan,varundvn,607,47M,"1,965"
M S Dhoni,mahi7781,4,41M,107
chrissy teigen,chrissyteigen,"1,059",42M,"5,239"
Chris Pratt,prattprattpratt,815,42M,760
Kapil Sharma,kapilsharma,915,45M,"1,079"
Sara Ali Khan,saraalikhan95,95,43M,896
Wiz Khalifa,wizkhalifa,"1,659",41M,554
Andres Iniesta,andresiniesta8,265,43M,"2,099"
𝙿𝚊𝚛𝚒𝚗𝚎𝚎𝚝𝚒 𝙲𝚑𝚘𝚙𝚛𝚊 🫧,parineetichopra,299,41M,"1,347"
Laudya Cynthia Bella,laudyacynthiabella,"3,063",39M,384
House of Highlights,houseofhighlights,"1,856",40M,11K
Wesley Safadão,wesleysafadao,628,40M,"9,067"
Conor McGregor Official,thenotoriousmma,"1,542",48M,"3,387"
The Weeknd,theweeknd,4,50M,768
KIM LOAIZA 🖤,kimberly.loaiza,"2,792",38M,599
Blake Lively,blakelively,422,38M,121
NATTI NATASHA,nattinatasha,638,37M,91
Antoine Griezmann,antogriezmann,96,40M,915
Tiger Shroff,tigerjackieshroff,509,37M,"2,172"
Luna Maya,lunamaya,"2,117",37M,"4,189"
Cole Sprouse,colesprouse,105,38M,"1,138"
Chelsea FC,chelseafc,155,38M,10K
Gisella Anastasia,gisel_la,"4,143",38M,10K
T-Raww,tyga,"2,346",41M,37
Barack Obama,barackobama,10,37M,755
Danna Paola,dannapaola,"1,311",36M,"2,037"
Veveta,ivetesangalo,"3,419",36M,"7,787"
zidane,zidane,33,36M,395
Becky G,iambeckyg,"2,403",36M,"2,363"
Paolla Oliveira,paollaoliveirareal,"1,777",36M,"4,799"
Sonam Kapoor Ahuja,sonamkapoor,"3,461",36M,"4,869"
Anushka Sen,anushkasen0408,142,40M,"5,533"
French Montana,frenchmontana,"3,720",40M,335
Nancy Ajram,nancyajram,86,36M,"3,870"
Dan Bilzerian,danbilzerian,436,35M,"1,382"
Хабиб Нурмагомедов,khabib_nurmagomedov,538,37M,"4,625"
Toni Kroos,toni.kr8s,245,38M,979
Shahid Kapoor,shahidkapoor,252,39M,"1,199"
Sarwendah29,sarwendah29,666,35M,"5,972"
Madhuri Dixit,madhuridixitnene,89,35M,"1,544"
Guru Randhawa,gururandhawa,144,35M,"2,286"
Sachin Tendulkar,sachintendulkar,32,39M,"1,089"
Ciara,ciara,161,35M,"4,396"
Madison Beer,madisonbeer,"1,032",36M,767
Luisillo El Pillo,luisitocomunica,"1,870",34M,"2,931"
Luan Santana,luansantana,"3,256",35M,"1,031"
RICIS,riaricis1795,923,34M,470
Juliette,juliette,"1,931",33M,"1,129"
Nick Jonas,nickjonas,499,35M,"2,387"
Shay Mitchell,shaymitchell,"1,111",37M,"6,370"
Daniel Alves,danialves,"1,393",40M,"3,454"
Amitabh Bachchan,amitabhbachchan,72,33M,"1,099"
DJ KHALED,djkhaled,"5,426",34M,10K
Manchester City,mancity,304,39M,10K
Robert Lewandowski,_rl9,102,33M,"1,831"
Sabrina Sato,sabrinasato,"7,604",33M,"9,902"
Jason Statham,jasonstatham,0,33M,255
이민호 leeminho,actorleeminho,2,32M,294
Jessica Iskandar,inijedar,8,33M,"3,705"
Marshall Mathers,eminem,0,39M,721
Niall Horan,niallhoran,"1,021",32M,"1,348"
Lewis Hamilton,lewishamilton,11,32M,"1,324"
Eliana Michaelichen,eliana,"4,137",32M,"5,198"
Shah Rukh Khan,iamsrk,6,35M,675
Juliana Paes,julianapaes,"3,264",32M,"3,908"
Hugh Jackman,thehughjackman,26,32M,"2,812"
Ashanty Ash,ashanty_ash,907,32M,10K
LUÍSA SONZA,luisasonza,"2,976",32M,"2,599"
INDONESIAN QUEEN MAKER,ivan_gunawan,"4,117",32M,10K
Jackson Wang,jacksonwang852g7,610,32M,641
Avneet Kaur Official,avneetkaur_13,137,34M,"3,614"
Victoria Beckham,victoriabeckham,306,31M,"4,939"
JIMIN,j.m,7,50M,33
Megan Thee Stallion,theestallion,297,31M,138
AGNEZ MO,agnezmo,"2,673",31M,"3,398"
Juanpa Zurita,juanpazurita,"1,577",33M,"1,626"
marshmello,marshmello,636,31M,170
Zaskia Shinta,zaskia_gotix,855,30M,"3,162"
Rashmika Mandanna,rashmika_mandanna,277,37M,571
Olivia Rodrigo,oliviarodrigo,14,31M,204
Emily Ratajkowski,emrata,"1,018",31M,"1,219"
Ester 🌙,ester_exposito,607,29M,233
RM,rkive,7,42M,125
“REAL HASTA LA MUERTE”,anuel,214,31M,"2,204"
Lili Reinhart,lilireinhart,705,29M,950
hakki akdeniz,hakkiakdenizz,24,33M,429
Floyd Mayweather,floydmayweather,327,30M,"1,049"
Syahnaz Sadiqah,syahnazs,"1,152",30M,"2,910"
50 Cent,50cent,209,30M,"5,010"
halsey,iamhalsey,656,32M,712
이지금 IU,dlwlrma,117,29M,649
Chiara Ferragni ✨,chiaraferragni,"1,594",29M,10K
Chelsea Olivia Wijaya,chelseaoliviaa,881,29M,"3,454"
raisa6690,raisa6690,"1,720",36M,"4,278"
isis valverde,isisvalverde,"1,619",29M,10K
Zaskia Sungkar,zaskiasungkar15,"1,198",31M,"5,522"
KEVINHO,kevinho,"1,021",29M,168
Alok Petrillo,alok,"1,307",29M,"1,799"
Sabrina Carpenter,sabrinacarpenter,616,29M,137
Johnny Depp,johnnydepp,162,29M,35
Via Vallen,viavallen,361,29M,519
Noah Schnapp,noahschnapp,"2,779",28M,195
Sofia Vergara,sofiavergara,"1,684",29M,"5,198"
